,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_01.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_01_success.txt,True,24.165783,../../src/logs/20250607_150110_gpt_fs_cot_ltm/100m앞낙석이발생하는상황_01_01_01.mp4
1,1,1,2,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_02.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_02_success.txt,True,15.251172,../../src/logs/20250607_150110_gpt_fs_cot_ltm/갑작스러운보행자침입하는상황_01_01_02.mp4
2,1,1,3,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_03.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_03_success.txt,True,17.095321,../../src/logs/20250607_150110_gpt_fs_cot_ltm/강한햇빛으로인해시야확보불가상황_01_01_03.mp4
3,1,1,4,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_04.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_04_fail.txt,False,7.540586,
4,1,1,5,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_05.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_05_success.txt,True,15.041227,../../src/logs/20250607_150110_gpt_fs_cot_ltm/2초뒤부터뒷차량이내차보다고속주행하는상황_01_01_05.mp4
5,1,1,6,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_06.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_06_success.txt,True,22.813871,../../src/logs/20250607_150110_gpt_fs_cot_ltm/갑작스러운차량차선변경으로인한간섭상황_01_01_06.mp4
6,1,1,7,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_07.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_07_success.txt,True,24.205694,../../src/logs/20250607_150110_gpt_fs_cot_ltm/도로중간에블랙아이스가존재하는상황_01_01_07.mp4
7,1,1,8,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_08.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_08_success.txt,True,25.787603,../../src/logs/20250607_150110_gpt_fs_cot_ltm/중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_09.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_09_fail.txt,False,27.436969,
9,1,1,10,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_01_10.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_01_10_fail.txt,False,30.619457,
10,1,2,1,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_01.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_01_success.txt,True,23.775038,../../src/logs/20250607_150110_gpt_fs_cot_ltm/눈으로인해시야확보가안되는상황에서낙석발생_01_02_01.mp4
11,1,2,2,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_02.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_02_success.txt,True,30.867987,../../src/logs/20250607_150110_gpt_fs_cot_ltm/갑작스럽게보행자가침입하여앞차량한대가급정거하는상황_01_02_02.mp4
12,1,2,3,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_03.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_03_success.txt,True,37.609896,../../src/logs/20250607_150110_gpt_fs_cot_ltm/눈으로인해도로위장애물존재상황_01_02_03.mp4
13,1,2,4,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_04.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_04_success.txt,True,30.910555,../../src/logs/20250607_150110_gpt_fs_cot_ltm/비가많이내리고2초뒤부터뒷차량이내차보다고속주행하는상황_01_02_04.mp4
14,1,2,5,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_05.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_05_success.txt,True,22.800265,../../src/logs/20250607_150110_gpt_fs_cot_ltm/낙석이발생하여앞차량이급정거하는상황_01_02_05.mp4
15,1,2,6,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_06.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_06_success.txt,True,26.788127,../../src/logs/20250607_150110_gpt_fs_cot_ltm/눈으로인해도로가미끄러운상황에서갑작스러운앞차량차선변경하는상황_01_02_06.mp4
16,1,2,7,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_07.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_07_success.txt,True,40.169284,../../src/logs/20250607_150110_gpt_fs_cot_ltm/비가많이오는상황에서보행자가침입하는상황_01_02_07.mp4
17,1,2,8,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_08.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_08_success.txt,True,40.361332,../../src/logs/20250607_150110_gpt_fs_cot_ltm/안개로인해시야확보가안되는상황에서보행자침입_01_02_08.mp4
18,1,2,9,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_09.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_09_success.txt,True,56.625524,../../src/logs/20250607_150110_gpt_fs_cot_ltm/도로에블랙아이스가존재하고중앙선넘어반대편차선에서차량이주행하는상황_01_02_09.mp4
19,1,2,10,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_02_10.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_02_10_success.txt,True,25.972097,../../src/logs/20250607_150110_gpt_fs_cot_ltm/차가도로한쪽에멈춰있고그차앞으로보행자가침입하는상황_01_02_10.mp4
20,1,3,1,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_03_01.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_03_01_success.txt,True,21.160061,../../src/logs/20250607_150110_gpt_fs_cot_ltm/강풍이불며짙은안개가끼어있어시야확보가힘든상황에서100m앞낙석발생_01_03_01.mp4
21,1,3,2,o4-mini,fs_cot_ltm,../../src/esmini/gen_20250607_150110_o4-mini_fs_cot_ltm_01_03_02.xosc,../../src/logs/20250607_150110_gpt_fs_cot_ltm/log_20250607_150110_o4-mini_fs_cot_ltm_01_03_02_fail.txt,False,68.852544,
