,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_01.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_01_success.txt,True,24.331033,src\logs\20250608_144617_gpt_fs_ltm\100m앞낙석이발생하는상황_01_01_01.mp4
1,1,1,2,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_02.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_02_fail.txt,False,32.626365,
2,1,1,3,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_03.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_03_success.txt,True,11.272779,src\logs\20250608_144617_gpt_fs_ltm\강한햇빛으로인해시야확보불가상황_01_01_03.mp4
3,1,1,4,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_04.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_04_fail.txt,False,9.342942,
4,1,1,5,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_05.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_05_success.txt,True,19.333572,src\logs\20250608_144617_gpt_fs_ltm\2초뒤부터뒷차량이내차보다고속주행하는상황_01_01_05.mp4
5,1,1,6,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_06.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_06_success.txt,True,17.399271,src\logs\20250608_144617_gpt_fs_ltm\갑작스러운차량차선변경으로인한간섭상황_01_01_06.mp4
6,1,1,7,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_07.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_07_success.txt,True,11.083949,src\logs\20250608_144617_gpt_fs_ltm\도로중간에블랙아이스가존재하는상황_01_01_07.mp4
7,1,1,8,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_08.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_08_success.txt,True,14.465131,src\logs\20250608_144617_gpt_fs_ltm\중앙선넘어반대편차선에서차량이주행하는상황_01_01_08.mp4
8,1,1,9,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_09.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_09_success.txt,True,22.359537,src\logs\20250608_144617_gpt_fs_ltm\하나의차선에서바리케이드쳐져있는상황_01_01_09.mp4
9,1,1,10,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_01_10.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_01_10_success.txt,True,35.986593,src\logs\20250608_144617_gpt_fs_ltm\사고난차량이정차되어있는상황_01_01_10.mp4
10,1,2,1,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_01.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_01_fail.txt,False,22.296454,
11,1,2,2,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_02.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_02_success.txt,True,35.195144,src\logs\20250608_144617_gpt_fs_ltm\갑작스럽게보행자가침입하여앞차량한대가급정거하는상황_01_02_02.mp4
12,1,2,3,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_03.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_03_fail.txt,False,24.204726,
13,1,2,4,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_04.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_04_success.txt,True,19.773355,src\logs\20250608_144617_gpt_fs_ltm\비가많이내리고2초뒤부터뒷차량이내차보다고속주행하는상황_01_02_04.mp4
14,1,2,5,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_05.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_05_success.txt,True,39.151638,src\logs\20250608_144617_gpt_fs_ltm\낙석이발생하여앞차량이급정거하는상황_01_02_05.mp4
15,1,2,6,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_06.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_06_success.txt,True,22.090366,src\logs\20250608_144617_gpt_fs_ltm\눈으로인해도로가미끄러운상황에서갑작스러운앞차량차선변경하는상황_01_02_06.mp4
16,1,2,7,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_07.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_07_fail.txt,False,28.045041,
17,1,2,8,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_08.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_08_success.txt,True,34.372471,src\logs\20250608_144617_gpt_fs_ltm\안개로인해시야확보가안되는상황에서보행자침입_01_02_08.mp4
18,1,2,9,o4-mini,fs_ltm,src\esmini\gen_20250608_144617_o4-mini_fs_ltm_01_02_09.xosc,src\logs\20250608_144617_gpt_fs_ltm\log_20250608_144617_o4-mini_fs_ltm_01_02_09_fail.txt,False,23.355186,
