,experiment count,level,index,model,prompting,scenario file path,log file path,success,generating time,video path
0,1,1,1,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_01.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_01_success.txt,True,10.356993,src\logs\20250608_005053_gpt_ltm\100m앞낙석이발생하는상황_01_01_01.mp4
1,1,1,2,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_02.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_02_success.txt,True,6.0863,src\logs\20250608_005053_gpt_ltm\갑작스러운보행자침입하는상황_01_01_02.mp4
2,1,1,3,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_03.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_03_success.txt,True,6.706926,src\logs\20250608_005053_gpt_ltm\강한햇빛으로인해시야확보불가상황_01_01_03.mp4
3,1,1,4,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_04.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_04_fail.txt,False,4.13002,
4,1,1,5,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_05.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_05_success.txt,True,44.556161,src\logs\20250608_005053_gpt_ltm\2초뒤부터뒷차량이내차보다고속주행하는상황_01_01_05.mp4
5,1,1,6,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_06.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_06_fail.txt,False,4.336798,
6,1,1,7,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_07.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_07_fail.txt,False,5.251451,
7,1,1,8,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_08.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_08_fail.txt,False,5.222946,
8,1,1,9,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_09.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_09_success.txt,True,3.844316,src\logs\20250608_005053_gpt_ltm\하나의차선에서바리케이드쳐져있는상황_01_01_09.mp4
9,1,1,10,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_01_10.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_01_10_success.txt,True,3.470122,src\logs\20250608_005053_gpt_ltm\사고난차량이정차되어있는상황_01_01_10.mp4
10,1,2,1,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_02_01.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_02_01_success.txt,True,4.908768,src\logs\20250608_005053_gpt_ltm\눈으로인해시야확보가안되는상황에서낙석발생_01_02_01.mp4
11,1,2,2,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_02_02.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_02_02_success.txt,True,8.856469,src\logs\20250608_005053_gpt_ltm\갑작스럽게보행자가침입하여앞차량한대가급정거하는상황_01_02_02.mp4
12,1,2,3,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_02_03.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_02_03_success.txt,True,6.095873,src\logs\20250608_005053_gpt_ltm\눈으로인해도로위장애물존재상황_01_02_03.mp4
13,1,2,4,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_02_04.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_02_04_fail.txt,False,9.240653,
14,1,2,5,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_02_05.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_02_05_fail.txt,False,23.067892,
15,1,2,6,o4-mini,ltm,src\esmini\gen_20250608_005053_o4-mini_ltm_01_02_06.xosc,src\logs\20250608_005053_gpt_ltm\log_20250608_005053_o4-mini_ltm_01_02_06_success.txt,True,7.881273,src\logs\20250608_005053_gpt_ltm\눈으로인해도로가미끄러운상황에서갑작스러운앞차량차선변경하는상황_01_02_06.mp4
